Pathway	Gene	OG_TSG
Cell_Cycle	CDKN1A	TSG
Cell_Cycle	CDKN1B	TSG
Cell_Cycle	CDKN2A	TSG
Cell_Cycle	CDKN2B	TSG
Cell_Cycle	CDKN2C	TSG
Cell_Cycle	CCND1	OG
Cell_Cycle	CCND2	OG
Cell_Cycle	CCND3	OG
Cell_Cycle	CCNE1	OG
Cell_Cycle	CDK2	OG
Cell_Cycle	CDK4	OG
Cell_Cycle	CDK6	OG
Cell_Cycle	RB1	TSG
Cell_Cycle	E2F1	OG
Cell_Cycle	E2F3	OG
Hippo	STK4	TSG
Hippo	STK3	TSG
Hippo	SAV1	TSG
Hippo	LATS1	TSG
Hippo	LATS2	TSG
Hippo	MOB1A	TSG
Hippo	MOB1B	TSG
Hippo	YAP1	OG
Hippo	WWTR1	OG
Hippo	TEAD1	OG
Hippo	TEAD2	OG
Hippo	TEAD3	OG
Hippo	TEAD4	OG
Hippo	PTPN14	TSG
Hippo	NF2	TSG
Hippo	WWC1	TSG
Hippo	TAOK1	TSG
Hippo	TAOK2	TSG
Hippo	TAOK3	TSG
Hippo	CRB1	TSG
Hippo	CRB2	TSG
Hippo	CRB3	TSG
Hippo	LLGL1	TSG
Hippo	LLGL2	TSG
Hippo	HMCN1	TSG
Hippo	SCRIB	Unknown
Hippo	HIPK2	OG
Hippo	FAT1	TSG
Hippo	FAT2	TSG
Hippo	FAT3	TSG
Hippo	FAT4	TSG
Hippo	DCHS1	TSG
Hippo	DCHS2	TSG
Hippo	CSNK1E	TSG
Hippo	CSNK1D	TSG
Hippo	AJUBA	OG
Hippo	LIMD1	OG
Hippo	WTIP	OG
MYC	MAX	TSG
MYC	MGA	TSG
MYC	MLX	TSG
MYC	MLXIP	OG
MYC	MLXIPL	OG
MYC	MNT	TSG
MYC	MXD1	
MYC	MXD3	
MYC	MXD4	
MYC	MXI1	TSG
MYC	MYC	OG
MYC	MYCL	OG
MYC	MYCN	OG
NOTCH	ARRDC1	OG
NOTCH	CNTN6	TSG
NOTCH	CREBBP	TSG
NOTCH	EP300	TSG
NOTCH	HES1	TSG
NOTCH	HES2	TSG
NOTCH	HES3	TSG
NOTCH	HES4	TSG
NOTCH	HES5	TSG
NOTCH	HEY1	TSG
NOTCH	HEY2	TSG
NOTCH	HEYL	TSG
NOTCH	KAT2B	TSG
NOTCH	KDM5A	OG
NOTCH	NOTCH1	TSG
NOTCH	NOTCH2	TSG
NOTCH	NOTCH3	TSG
NOTCH	NOTCH4	TSG
NOTCH	NOV	TSG
NOTCH	NRARP	OG
NOTCH	PSEN2	TSG
NOTCH	LFNG	
NOTCH	ITCH	
NOTCH	NCSTN	
NOTCH	SPEN	TSG
NOTCH	JAG1	
NOTCH	APH1A	
NOTCH	FBXW7	TSG
NOTCH	FHL1	
NOTCH	THBS2	
NOTCH	HDAC2	
NOTCH	MFAP2	
NOTCH	CUL1	TSG
NOTCH	RFNG	
NOTCH	NCOR1	TSG
NOTCH	NCOR2	TSG
NOTCH	MFAP5	
NOTCH	HDAC1	OG
NOTCH	NUMB	
NOTCH	JAG2	TSG
NOTCH	MAML3	TSG
NOTCH	MFNG	
NOTCH	CIR1	
NOTCH	CNTN1	
NOTCH	MAML1	
NOTCH	MAML2	
NOTCH	NUMBL	
NOTCH	PSEN1	
NOTCH	PSENEN	
NOTCH	RBPJ	
NOTCH	RBPJL	
NOTCH	RBX1	
NOTCH	SAP30	
NOTCH	SKP1	
NOTCH	SNW1	
NOTCH	CTBP1	
NOTCH	CTBP2	
NOTCH	ADAM10	
NOTCH	APH1B	
NOTCH	ADAM17	
NOTCH	DLK1	
NOTCH	DLL1	
NOTCH	DLL3	
NOTCH	DLL4	
NOTCH	DNER	TSG
NOTCH	DTX1	
NOTCH	DTX2	
NOTCH	DTX3	
NOTCH	DTX3L	
NOTCH	DTX4	
NOTCH	EGFL7	
NRF2	NFE2L2	OG
NRF2	KEAP1	TSG
NRF2	CUL3	TSG
PI3K	EIF4EBP1	OG
PI3K	AKT1	OG
PI3K	AKT2	OG
PI3K	AKT3	OG
PI3K	AKT1S1	OG
PI3K	DEPDC5	
PI3K	DEPTOR	OG
PI3K	INPP4B	TSG
PI3K	MAPKAP1	OG
PI3K	MLST8	OG
PI3K	MTOR	OG
PI3K	NPRL2	TSG
PI3K	NPRL3	TSG
PI3K	PDK1	OG
PI3K	PIK3CA	OG
PI3K	PIK3CB	OG
PI3K	PIK3R1	TSG
PI3K	PIK3R2	OG
PI3K	PIK3R3	TSG
PI3K	PPP2R1A	TSG
PI3K	PTEN	TSG
PI3K	RHEB	OG
PI3K	RICTOR	OG
PI3K	RPTOR	OG
PI3K	RPS6	OG
PI3K	RPS6KB1	OG
PI3K	STK11	TSG
PI3K	TSC1	TSG
PI3K	TSC2	TSG
TGF-Beta	TGFBR1	TSG
TGF-Beta	TGFBR2	TSG
TGF-Beta	ACVR2A	TSG
TGF-Beta	ACVR1B	TSG
TGF-Beta	SMAD2	TSG
TGF-Beta	SMAD3	TSG
TGF-Beta	SMAD4	TSG
RTK-RAS	ABL1	OG
RTK-RAS	EGFR	OG
RTK-RAS	ERBB2	OG
RTK-RAS	ERBB3	OG
RTK-RAS	ERBB4	OG
RTK-RAS	PDGFRA	OG
RTK-RAS	PDGFRB	OG
RTK-RAS	MET	OG
RTK-RAS	FGFR1	OG
RTK-RAS	FGFR2	OG
RTK-RAS	FGFR3	OG
RTK-RAS	FGFR4	OG
RTK-RAS	FLT3	OG
RTK-RAS	ALK	OG
RTK-RAS	RET	OG
RTK-RAS	ROS1	OG
RTK-RAS	KIT	OG
RTK-RAS	IGF1R	OG
RTK-RAS	NTRK1	OG
RTK-RAS	NTRK2	OG
RTK-RAS	NTRK3	OG
RTK-RAS	SOS1	OG
RTK-RAS	GRB2	OG
RTK-RAS	PTPN11	OG
RTK-RAS	KRAS	OG
RTK-RAS	HRAS	OG
RTK-RAS	NRAS	OG
RTK-RAS	RIT1	OG
RTK-RAS	ARAF	OG
RTK-RAS	BRAF	OG
RTK-RAS	RAF1	OG
RTK-RAS	RAC1	OG
RTK-RAS	MAP2K1	OG
RTK-RAS	MAP2K2	OG
RTK-RAS	MAPK1	OG
RTK-RAS	NF1	TSG
RTK-RAS	RASA1	TSG
RTK-RAS	CBL	TSG
RTK-RAS	ERRFI1	TSG
RTK-RAS	CBLB	NA
RTK-RAS	CBLC	NA
RTK-RAS	INSR	NA
RTK-RAS	INSRR	NA
RTK-RAS	IRS1	NA
RTK-RAS	SOS2	NA
RTK-RAS	SHC1	NA
RTK-RAS	SHC2	NA
RTK-RAS	SHC3	NA
RTK-RAS	SHC4	NA
RTK-RAS	RASGRP1	NA
RTK-RAS	RASGRP2	NA
RTK-RAS	RASGRP3	NA
RTK-RAS	RASGRP4	NA
RTK-RAS	RAPGEF1	NA
RTK-RAS	RAPGEF2	NA
RTK-RAS	RASGRF1	NA
RTK-RAS	RASGRF2	NA
RTK-RAS	FNTA	NA
RTK-RAS	FNTB	NA
RTK-RAS	RCE1	NA
RTK-RAS	ICMT	NA
RTK-RAS	MRAS	NA
RTK-RAS	PLXNB1	NA
RTK-RAS	MAPK3	NA
RTK-RAS	ARHGAP35	NA
RTK-RAS	RASA2	NA
RTK-RAS	RASA3	NA
RTK-RAS	RASAL1	NA
RTK-RAS	RASAL2	NA
RTK-RAS	RASAL3	NA
RTK-RAS	SPRED1	NA
RTK-RAS	SPRED2	NA
RTK-RAS	SPRED3	NA
RTK-RAS	DAB2IP	NA
RTK-RAS	SHOC2	NA
RTK-RAS	PPP1CA	NA
RTK-RAS	SCRIB	NA
RTK-RAS	PIN1	NA
RTK-RAS	KSR1	NA
RTK-RAS	KSR2	NA
RTK-RAS	PEBP1	NA
RTK-RAS	ERF	TSG
RTK-RAS	PEA15	NA
RTK-RAS	JAK2	OG
RTK-RAS	IRS2	OG
TP53	TP53	TSG
TP53	MDM2	OG
TP53	MDM4	OG
TP53	ATM	TSG
TP53	CHEK2	TSG
TP53	RPS6KA3	OG
WNT	CHD8	NA
WNT	LEF1	OG
WNT	LGR4	OG
WNT	LGR5	OG
WNT	LRP5	OG
WNT	LRP6	OG
WNT	LZTR1	NA
WNT	NDP	NA
WNT	PORCN	OG
WNT	RSPO1	OG
WNT	SFRP1	TSG
WNT	SFRP2	TSG
WNT	SFRP4	TSG
WNT	SFRP5	TSG
WNT	SOST	TSG
WNT	TCF7L1	TSG
WNT	TLE1	TSG
WNT	TLE2	TSG
WNT	TLE3	TSG
WNT	TLE4	TSG
WNT	WIF1	TSG
WNT	ZNRF3	TSG
WNT	CTNNB1	OG
WNT	DVL1	OG
WNT	DVL2	OG
WNT	DVL3	OG
WNT	FRAT1	OG
WNT	FRAT2	OG
WNT	FZD1	OG
WNT	FZD10	OG
WNT	FZD2	OG
WNT	FZD3	OG
WNT	FZD4	OG
WNT	FZD5	OG
WNT	FZD6	OG
WNT	FZD7	OG
WNT	FZD8	OG
WNT	FZD9	OG
WNT	WNT1	OG
WNT	WNT10A	OG
WNT	WNT10B	OG
WNT	WNT11	OG
WNT	WNT16	OG
WNT	WNT2	OG
WNT	WNT3A	OG
WNT	WNT4	OG
WNT	WNT5A	OG
WNT	WNT5B	OG
WNT	WNT6	OG
WNT	WNT7A	OG
WNT	WNT7B	OG
WNT	WNT8A	OG
WNT	WNT8B	OG
WNT	WNT9A	OG
WNT	WNT9B	OG
WNT	AMER1	TSG
WNT	APC	TSG
WNT	AXIN1	TSG
WNT	AXIN2	TSG
WNT	DKK1	TSG
WNT	DKK2	TSG
WNT	DKK3	TSG
WNT	DKK4	TSG
WNT	GSK3B	TSG
WNT	RNF43	TSG
WNT	TCF7	TSG
WNT	TCF7L2	TSG
WNT	CHD4	
